2024-06-21 23:58:51,694 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: status_report
2024-06-21 23:58:51,695 DEBUG   SenderThread:2026199 [sender.py:send():379] send: files
2024-06-21 23:58:51,695 INFO    SenderThread:2026199 [sender.py:_save_file():1454] saving file wandb-metadata.json with policy now
2024-06-21 23:58:51,814 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/conda-environment.yaml
2024-06-21 23:58:51,814 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_created():271] file/dir created: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/wandb-metadata.json
2024-06-21 23:58:51,993 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: python_packages
2024-06-21 23:58:51,994 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: stop_status
2024-06-21 23:58:51,994 DEBUG   SenderThread:2026199 [sender.py:send_request():406] send_request: python_packages
2024-06-21 23:58:51,995 DEBUG   SenderThread:2026199 [sender.py:send_request():406] send_request: stop_status
2024-06-21 23:58:51,997 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:52,510 DEBUG   SenderThread:2026199 [sender.py:send():379] send: telemetry
2024-06-21 23:58:52,802 INFO    wandb-upload_0:2026199 [upload_job.py:push():130] Uploaded file /tmp/tmpo17o1jiwwandb/125wi9ui-wandb-metadata.json
2024-06-21 23:58:52,814 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_created():271] file/dir created: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/requirements.txt
2024-06-21 23:58:52,815 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_created():271] file/dir created: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/output.log
2024-06-21 23:58:52,994 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:53,995 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:54,801 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: status_report
2024-06-21 23:58:54,815 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/output.log
2024-06-21 23:58:54,995 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:56,051 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:56,816 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/output.log
2024-06-21 23:58:57,062 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:57,817 INFO    Thread-12 :2026199 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/ubuntu/文档/GitHub/DL大作业/wandb/run-20240621_235839-p5k56sfl/files/output.log
2024-06-21 23:58:58,063 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-21 23:58:59,064 DEBUG   HandlerThread:2026199 [handler.py:handle_request():158] handle_request: internal_messages
